generation,best_fitness,average_fitness
155,1923.8893571165856,1922.9549153686341
156,1923.8893571165856,1922.928040220339
157,1923.8893571165856,1922.8728204247604
158,1923.8893571165856,1922.8987624119836
159,1923.8893571165856,1923.052045217739
160,1923.8893571165856,1923.0999963403624
161,1923.8893571165856,1922.9351646002424
162,1923.8893571165856,1923.0013931788014
163,1923.8893571165856,1922.9623061635866
164,1923.8893571165856,1922.9799753781842
165,1923.8893571165856,1923.154660854341
166,1923.8893571165856,1922.8622875245014
167,1923.8893571165856,1922.844683997542
168,1923.8893571165856,1922.8641843405644
169,1923.8893571165856,1923.0505760630483
170,1923.8893571165856,1922.7705771660537
171,1923.8893571165856,1922.6786779555653
172,1923.8893571165856,1922.9979431656043
173,1923.8893571165856,1922.8584455789994
174,1923.8893571165856,1922.7935154681254
175,1923.8893571165856,1923.0055400465317
176,1923.8893571165856,1922.6036150317268
177,1923.8893571165856,1922.9680573399614
178,1923.8893571165856,1922.7251336030092
179,1923.8898724920286,1922.9326728967353
180,1923.8898724920286,1923.011934412686
181,1923.8898724920286,1923.006373190889
182,1923.8898724920286,1922.725744020513
183,1923.8898724920286,1922.6684710434124
184,1923.8898724920286,1922.8589138948344
185,1923.8898724920286,1922.9470411113484
186,1923.8898724920286,1922.7413861147631
187,1923.8898724920286,1922.8661735636304
188,1923.8898724920286,1923.043366758066
189,1923.8898724920286,1923.181041151505
190,1923.8898724920286,1922.8995871485151
191,1923.8898724920286,1922.9345538214775
192,1923.8898724920286,1922.8100468691528
193,1923.8898724920286,1923.0922785917405
194,1923.8898724920286,1922.8443953656986
195,1923.8898724920286,1923.138213775206
196,1923.8898724920286,1922.8387785488987
197,1923.8898888374424,1923.0121943907413
198,1923.8898888374424,1922.941323918356
199,1923.8898888374424,1923.0782723193
200,1923.8898888374424,1922.7636605058515
