window_number,window_start,window_end,best_generation,best_fitness,average_environment_score,environment_score_std,minimum_environment_score,maximum_environment_score,ga_total_feed_g,fixed_total_feed_g,feed_saved_g,feed_saved_percent,cost_saved,ga_estimated_final_abw_g,fixed_estimated_final_abw_g,abw_improvement_g,ga_fitness_score,fixed_fitness_score,fitness_improvement,growth_target_status,ga_schedule_g
35,2024-02-04,2024-02-10,180,1777.0698311230399,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.634379073665,1050.0,180.36562092633505,17.177678183460483,5.005145980705798,21.661747037983982,21.45057313872503,0.21117389925895225,1777.069831123039,1694.376948438267,82.69288268477203,Continue Optimization,124.20;124.24;124.20;124.24;124.25;124.25;124.26
36,2024-02-05,2024-02-11,122,1777.0727364364648,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.8903960517089,1050.0,180.10960394829112,17.153295614122964,4.998041509565077,21.661958274091177,21.45057313872503,0.21138513536614667,1777.0727364364648,1694.376948438267,82.69578799819783,Continue Optimization,124.28;124.24;124.31;124.25;124.25;124.28;124.28
37,2024-02-06,2024-02-12,198,1777.0812679767419,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.7288054634075,1050.0,180.27119453659247,17.16868519396119,5.002525648390439,21.66187430643508,21.45057313872503,0.21130116771005092,1777.0812679767428,1694.376948438267,82.70431953847583,Continue Optimization,124.27;124.23;124.27;124.26;124.23;124.25;124.23
38,2024-02-07,2024-02-13,137,1777.0582518340154,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.6412864867248,1050.0,180.35871351327523,17.177020334597643,5.004954299993386,21.661697224456834,21.45057313872503,0.21112408573180375,1777.0582518340154,1694.376948438267,82.6813033957485,Continue Optimization,124.20;124.24;124.22;124.27;124.21;124.23;124.28
39,2024-02-08,2024-02-14,178,1777.0540093505986,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.750595218163,1050.0,180.24940478183703,17.166609979222574,5.001920982695978,21.66176130439197,21.45057313872503,0.21118816566693965,1777.054009350599,1694.376948438267,82.67706091233208,Continue Optimization,124.24;124.24;124.25;124.28;124.27;124.30;124.17
40,2024-02-09,2024-02-15,189,1777.0924969664393,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.771970095309,1050.0,180.22802990469097,17.164574276637236,5.001327829855175,21.661961059801243,21.45057313872503,0.21138792107621285,1777.0924969664393,1694.376948438267,82.71554852817235,Continue Optimization,124.25;124.26;124.24;124.27;124.24;124.28;124.24
41,2024-02-10,2024-02-16,165,1777.0909962627684,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.7929207099295,1050.0,180.2070792900705,17.162578980006714,5.000746450299456,21.661970067514808,21.45057313872503,0.21139692878977812,1777.0909962627684,1694.376948438267,82.71404782450145,Continue Optimization,124.20;124.26;124.26;124.26;124.28;124.27;124.27
42,2024-02-11,2024-02-17,187,1777.0962405857867,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.7614059170294,1050.0,180.23859408297062,17.165580388854345,5.0016209858024325,21.66197074107553,21.45057313872503,0.2113976023504982,1777.096240585786,1694.376948438267,82.71929214751913,Continue Optimization,124.26;124.25;124.24;124.25;124.24;124.27;124.26
43,2024-02-12,2024-02-18,200,1777.0614487202945,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.6855427886268,1050.0,180.31445721137322,17.17280544870221,5.003726187615605,21.66174657144104,21.45057313872503,0.2111734327160093,1777.0614487202945,1694.376948438267,82.68450028202756,Continue Optimization,124.22;124.20;124.24;124.25;124.26;124.22;124.29
44,2024-02-13,2024-02-19,166,1777.0452400932206,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.6168487201804,1050.0,180.38315127981957,17.179347740935196,5.0056324480149925,21.66161642110467,21.45057313872503,0.21104328237964154,1777.0452400932197,1694.376948438267,82.66829165495278,Continue Optimization,124.25;124.14;124.26;124.29;124.24;124.23;124.21
45,2024-02-14,2024-02-20,199,1777.085428915069,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.6953871777248,1050.0,180.3046128222752,17.171867887835734,5.0034530058181375,21.661868353337507,21.45057313872503,0.2112952146124769,1777.0854289150698,1694.376948438267,82.70848047680283,Continue Optimization,124.26;124.23;124.25;124.24;124.22;124.25;124.25
